timestamp,price,sma_20,ema_12,ema_26,rsi,macd_line,macd_signal,bb_upper,bb_lower,obv,signal,confidence
2025-02-19 19:18:25,99.5000,,,,,,,,,0,Sell,0.0000
2025-02-20 19:18:25,99.3703,,,,,,,,,-1041,Sell,0.0000
2025-02-21 19:18:25,99.6062,,,,,,,,,41,Sell,0.0000
2025-02-22 19:18:25,100.2048,,,,,,,,,1164,Sell,0.0000
2025-02-23 19:18:25,101.1656,,,,,,,,,2328,Sell,0.0000
2025-02-24 19:18:25,102.4897,,,,,,,,,3533,Sell,0.0000
2025-02-25 19:18:25,103.1552,,,,,,,,,4779,Sell,0.0000
2025-02-26 19:18:25,104.1645,,,,,,,,,6066,Sell,0.0000
2025-02-27 19:18:25,105.5131,,,,,,,,,7394,Sell,0.0000
2025-02-28 19:18:25,107.1978,,,,,,,,,8763,Sell,0.0000
2025-03-01 19:18:25,109.2163,,,,,,,,,10173,Sell,0.0000
2025-03-02 19:18:25,111.5671,,111.5671,,,,,,,11624,Sell,0.0000
2025-03-03 19:18:25,113.1336,,111.8081,,,,,,,13116,Sell,0.0000
2025-03-04 19:18:25,114.9857,,112.2969,,,,,,,14649,Sell,0.0000
2025-03-05 19:18:25,117.1140,,113.0380,,99.28,,,,,16223,Sell,0.1000
2025-03-06 19:18:25,119.5089,,114.0335,,99.38,,,,,17838,Sell,0.1000
2025-03-07 19:18:25,122.1610,,115.2839,,99.46,,,,,19494,Sell,0.1000
2025-03-08 19:18:25,125.0603,,116.7880,,99.54,,,,,21191,Sell,0.1000
2025-03-09 19:18:25,126.9458,,118.3507,,99.58,,,,,22929,Sell,0.1000
2025-03-10 19:18:25,129.0056,110.5533,119.9899,,99.62,,,129.8731,91.2334,24708,Sell,0.0800
2025-03-11 19:18:25,131.2227,112.1394,121.7181,,99.66,,,132.7356,91.5432,26528,Sell,0.0800
2025-03-12 19:18:25,133.5800,113.8499,123.5430,,99.69,,,135.5716,92.1282,28389,Sell,0.0800
2025-03-13 19:18:25,136.0606,115.6726,125.4688,,99.72,,,138.4021,92.9432,30291,Sell,0.0800
2025-03-14 19:18:25,138.6477,117.5948,127.4963,,99.75,,,141.2500,93.9395,32234,Sell,0.0800
2025-03-15 19:18:25,139.9384,119.5334,129.4105,,99.76,,,143.8316,95.2352,34218,Sell,0.0800
2025-03-16 19:18:25,141.2635,121.4721,131.2340,141.2635,99.78,-10.0295,,146.2048,96.7393,36243,Sell,0.0917
2025-03-17 19:18:25,142.6069,123.4447,132.9837,141.3630,99.79,-8.3793,,148.3119,98.5775,38309,Sell,0.0917
2025-03-18 19:18:25,143.9542,125.4342,134.6715,141.5550,99.80,-6.8835,,150.1795,100.6889,40416,Sell,0.0917
2025-03-19 19:18:25,145.2930,127.4232,136.3055,141.8319,99.81,-5.5263,,151.8365,103.0098,42564,Sell,0.0917
2025-03-20 19:18:25,146.6130,129.3939,137.8913,142.1860,99.82,-4.2947,,153.3170,105.4709,44753,Sell,0.0917
2025-03-21 19:18:25,146.4403,131.2551,139.2065,142.5012,99.01,-3.2946,,154.3883,108.1219,42523,Sell,0.0917
2025-03-22 19:18:25,146.2253,132.9880,140.2863,142.7770,97.94,-2.4907,,155.1337,110.8424,40252,Sell,0.0917
2025-03-23 19:18:25,145.9668,134.6297,141.1603,143.0133,96.59,-1.8530,,155.4743,113.7850,37940,Sell,0.0917
2025-03-24 19:18:25,145.6669,136.1637,141.8536,143.2099,94.95,-1.3563,-1.3563,155.4581,116.8694,35587,Sell,0.1000
2025-03-25 19:18:25,145.3303,137.5746,142.3885,143.3669,93.04,-0.9785,-1.2807,155.1398,120.0093,33193,Sell,0.1000
2025-03-26 19:18:25,144.9647,138.8474,142.7848,143.4853,90.91,-0.7005,-1.1647,154.5860,123.1087,30758,Sell,0.0857
2025-03-27 19:18:25,143.1308,139.8958,142.8380,143.4590,80.88,-0.6210,-1.0559,153.7267,126.0650,28282,Sell,0.0857
2025-03-28 19:18:25,141.3135,140.7085,142.6035,143.3001,72.36,-0.6966,-0.9841,152.7515,128.6655,25765,Sell,0.0857
2025-03-29 19:18:25,139.5277,141.3376,142.1303,143.0207,65.11,-0.8904,-0.9653,151.6258,131.0494,23207,Sell,0.0643
2025-03-30 19:18:25,137.7898,141.7768,141.4625,142.6332,58.92,-1.1707,-1.0064,150.5619,132.9918,20608,Sell,0.0786
2025-03-31 19:18:25,136.1176,142.0216,140.6402,142.1506,53.63,-1.5103,-1.1072,149.8360,134.2071,17968,Sell,0.0786
2025-04-01 19:18:25,134.5297,142.0690,139.7002,141.5860,49.13,-1.8859,-1.2629,149.6868,134.4513,15287,Sell,0.0786
2025-04-02 19:18:25,131.7004,141.8510,138.4694,140.8538,42.31,-2.3844,-1.4872,150.3434,133.3586,12565,Sell,0.1000
2025-04-03 19:18:25,129.0370,141.3705,137.0183,139.9785,37.09,-2.9602,-1.7818,151.4693,131.2717,9802,Sell,0.1000
2025-04-04 19:18:25,126.5553,140.7013,135.4086,138.9842,33.00,-3.5756,-2.1406,152.6881,128.7146,6998,Sell,0.1000
2025-04-05 19:18:25,124.2709,139.8517,133.6951,137.8943,29.75,-4.1992,-2.5523,153.8060,125.8974,4153,Hold,0.1214
2025-04-06 19:18:25,122.1988,138.8313,131.9264,136.7317,27.14,-4.8052,-3.0029,154.6858,122.9768,1267,Hold,0.1214
2025-04-07 19:18:25,120.3538,137.6513,130.1460,135.5185,25.03,-5.3724,-3.4768,155.2248,120.0777,-1660,Sell,0.1000
2025-04-08 19:18:25,117.5468,136.2640,128.2077,134.1872,22.21,-5.9796,-3.9773,155.5069,117.0211,-4628,Sell,0.1000
2025-04-09 19:18:25,115.0373,134.6852,126.1815,132.7687,20.03,-6.5873,-4.4993,155.3978,113.9725,-7637,Sell,0.1000
2025-04-10 19:18:25,112.8310,133.0047,124.1276,131.2919,18.33,-7.1643,-5.0323,155.0411,110.9683,-10687,Sell,0.1000
2025-04-11 19:18:25,110.9336,131.2401,122.0977,129.7838,17.00,-7.6861,-5.5631,154.3835,108.0967,-13778,Sell,0.1000
2025-04-12 19:18:25,109.3507,129.4093,120.1366,128.2703,15.95,-8.1336,-6.0772,153.3815,105.4372,-16910,Sell,0.1000
2025-04-13 19:18:25,106.9947,127.4757,118.1148,126.6943,14.52,-8.5795,-6.5777,152.1198,102.8316,-20083,Sell,0.1000
2025-04-14 19:18:25,104.9987,125.4591,116.0969,125.0872,13.42,-8.9903,-7.0602,150.5261,100.3922,-23297,Sell,0.1000
2025-04-15 19:18:25,103.3596,123.3789,114.1373,123.4778,12.58,-9.3404,-7.5162,148.5309,98.2268,-26552,Sell,0.1000
2025-04-16 19:18:25,102.0753,121.3261,112.2816,121.8924,11.95,-9.6108,-7.9351,146.3962,96.2560,-29848,Sell,0.1000
2025-04-17 19:18:25,101.1450,119.3177,110.5683,120.3556,11.50,-9.7872,-8.3056,144.0954,94.5400,-33185,Sell,0.1000
2025-04-18 19:18:25,100.5693,117.3698,109.0300,118.8899,11.22,-9.8599,-8.6164,141.6054,93.1341,-36563,Sell,0.1000
2025-04-19 19:18:25,99.3446,115.4475,107.5399,117.4421,10.62,-9.9022,-8.8736,138.9884,91.9067,-39982,Sell,0.1000
2025-04-20 19:18:25,98.4914,113.5662,106.1479,116.0384,10.21,-9.8905,-9.0770,136.1951,90.9373,-43442,Sell,0.1000
2025-04-21 19:18:25,98.0045,111.7399,104.8950,114.7025,9.98,-9.8075,-9.2231,133.1704,90.3095,-46943,Sell,0.1000
2025-04-22 19:18:25,97.8809,110.0490,103.8159,113.4565,9.92,-9.6405,-9.3066,130.2122,89.8857,-50485,Sell,0.1000
2025-04-23 19:18:25,98.1193,108.5031,102.9395,112.3204,11.07,-9.3808,-9.3214,127.3007,89.7054,-46902,Sell,0.1000
2025-04-24 19:18:25,98.7209,107.1114,102.2905,111.3130,14.07,-9.0225,-9.2616,124.4193,89.8034,-43278,Hold,0.1000
2025-04-25 19:18:25,98.7014,105.8329,101.7383,110.3788,14.05,-8.6405,-9.1374,121.5899,90.0759,-46943,Hold,0.1000
2025-04-26 19:18:25,99.0400,104.6749,101.3232,109.5389,15.90,-8.2157,-8.9531,118.7668,90.5831,-43237,Hold,0.1000
2025-04-27 19:18:25,99.7330,103.6439,101.0786,108.8125,19.70,-7.7340,-8.7092,115.8933,91.3945,-39490,Sell,0.0857
2025-04-28 19:18:25,100.7784,102.8055,101.0324,108.2174,25.20,-7.1850,-8.4044,113.3040,92.3069,-35702,Sell,0.0857
2025-04-29 19:18:25,102.1761,102.1624,101.2084,107.7699,31.91,-6.5616,-8.0358,111.0349,93.2899,-31873,Sell,0.0643
2025-04-30 19:18:25,103.9274,101.7172,101.6267,107.4853,39.27,-5.8586,-7.6004,109.1864,94.2481,-28003,Sell,0.0786
2025-05-01 19:18:25,104.9957,101.4203,102.1450,107.3009,43.29,-5.1559,-7.1115,107.7919,95.0488,-24092,Sell,0.0786
2025-05-02 19:18:25,106.3893,101.2723,102.7980,107.2334,48.12,-4.4354,-6.5763,107.0054,95.5391,-20140,Sell,0.0786
2025-05-03 19:18:25,108.1031,101.3277,103.6141,107.2978,53.38,-3.6836,-5.9977,107.2976,95.3578,-16147,Hold,0.1000
2025-05-04 19:18:25,110.1327,101.5844,104.6170,107.5078,58.71,-2.8908,-5.3764,108.5260,94.6428,-12113,Hold,0.1000
2025-05-05 19:18:25,112.4741,102.0401,105.8258,107.8757,63.85,-2.0499,-4.7111,110.4331,93.6471,-8038,Hold,0.1000
2025-05-06 19:18:25,115.1238,102.6926,107.2562,108.4126,68.62,-1.1563,-4.0001,112.8403,92.5448,-3922,Hold,0.1000
2025-05-07 19:18:25,116.9270,103.4817,108.7441,109.0433,71.38,-0.2992,-3.2599,115.3362,91.6271,235,Sell,0.1214
2025-05-08 19:18:25,118.9815,104.4023,110.3191,109.7794,74.17,0.5396,-2.5000,117.9482,90.8563,4433,Hold,0.1214
2025-05-09 19:18:25,121.2754,105.4988,112.0046,110.6310,76.88,1.3737,-1.7253,120.6813,90.3163,8672,Hold,0.1214
2025-05-10 19:18:25,123.7963,106.7641,113.8188,111.6062,79.43,2.2126,-0.9377,123.5344,89.9937,12952,Hold,0.1214
2025-05-11 19:18:25,126.5320,108.1904,115.7746,112.7118,81.79,3.0628,-0.1376,126.5184,89.8625,17273,Hold,0.1214
2025-05-12 19:18:25,129.4694,109.7698,117.8815,113.9531,83.91,3.9284,0.6756,129.6504,89.8893,21635,Hold,0.1000
2025-05-13 19:18:25,131.3005,111.4289,119.9460,115.2381,85.08,4.7079,1.4821,132.6372,90.2206,26038,Hold,0.1000
2025-05-14 19:18:25,133.2558,113.1557,121.9936,116.5727,86.23,5.4209,2.2698,135.5354,90.7759,30482,Hold,0.1000
2025-05-15 19:18:25,135.3173,114.9864,124.0434,117.9612,87.34,6.0822,3.0323,138.3078,91.6651,34967,Hold,0.1000
2025-05-16 19:18:25,137.4672,116.9078,126.1086,119.4061,88.39,6.7025,3.7663,140.9773,92.8383,39493,Hold,0.1000
2025-05-17 19:18:25,139.6886,118.9056,128.1978,120.9085,89.37,7.2893,4.4709,143.5667,94.2444,44060,Hold,0.1000
2025-05-18 19:18:25,141.9652,120.9649,130.3159,122.4683,90.28,7.8476,5.1463,146.1013,95.8285,48668,Hold,0.1000
2025-05-19 19:18:25,142.8625,122.9992,132.2462,123.9790,90.62,8.2672,5.7705,148.3090,97.6895,53317,Hold,0.1000
2025-05-20 19:18:25,143.7543,124.9906,134.0166,125.4438,90.96,8.5728,6.3309,150.2518,99.7294,58007,Hold,0.1000
2025-05-21 19:18:25,144.6286,126.9722,135.6493,126.8649,91.29,8.7844,6.8216,151.8638,102.0806,62738,Hold,0.1000
2025-05-22 19:18:25,145.4758,128.9266,137.1610,128.2435,91.61,8.9176,7.2408,153.1765,104.6766,67510,Hold,0.1000
2025-05-23 19:18:25,146.2889,130.8359,138.5653,129.5802,91.92,8.9851,7.5897,154.2249,107.4468,72323,Hold,0.1000
2025-05-24 19:18:25,147.0636,132.6824,139.8728,130.8753,92.21,8.9975,7.8712,155.0509,110.3139,77177,Hold,0.1000
2025-05-25 19:18:25,146.3278,134.3751,140.8658,132.0199,88.91,8.8460,8.0662,155.4572,113.2930,72282,Hold,0.1000
2025-05-26 19:18:25,145.5543,135.8966,141.5871,133.0224,85.45,8.5647,8.1659,155.5452,116.2480,67346,Hold,0.1000
2025-05-27 19:18:25,144.7486,137.2877,142.0735,133.8910,81.87,8.1825,8.1692,155.2329,119.3425,62369,Hold,0.1000
2025-05-28 19:18:25,143.9192,138.5346,142.3575,134.6339,78.24,7.7236,8.0801,154.5840,122.4852,57351,Sell,0.0857
2025-05-29 19:18:25,143.0772,139.6247,142.4682,135.2593,74.63,7.2089,7.9058,153.6739,125.5754,52292,Sell,0.0857
